Time,Date time,Elevation (ft),Elevation (m)
2025-01-01T08:00:00Z,1/1/2025 8:00,158.83,48.41138245
2025-01-02T08:00:00Z,1/2/2025 8:00,159.15,48.50891845
2025-01-03T08:00:00Z,1/3/2025 8:00,159.25,48.53939845
2025-01-04T08:00:00Z,1/4/2025 8:00,158.66,48.35956645
2025-01-05T08:00:00Z,1/5/2025 8:00,159.02,48.46929445
2025-01-06T08:00:00Z,1/6/2025 8:00,158.99,48.46015045
2025-01-07T08:00:00Z,1/7/2025 8:00,159.06,48.48148645
2025-01-08T08:00:00Z,1/8/2025 8:00,158.92,48.43881445
2025-01-09T08:00:00Z,1/9/2025 8:00,158.89,48.42967045
2025-01-10T08:00:00Z,1/10/2025 8:00,158.99,48.46015045
2025-01-11T08:00:00Z,1/11/2025 8:00,159.02,48.46929445
2025-01-12T08:00:00Z,1/12/2025 8:00,158.92,48.43881445
2025-01-13T08:00:00Z,1/13/2025 8:00,159.32,48.56073445
2025-01-14T08:00:00Z,1/14/2025 8:00,158.76,48.39004645
2025-01-15T08:00:00Z,1/15/2025 8:00,158.79,48.39919045
2025-01-16T08:00:00Z,1/16/2025 8:00,158.73,48.38090245
2025-01-17T08:00:00Z,1/17/2025 8:00,158.73,48.38090245
2025-01-18T08:00:00Z,1/18/2025 8:00,158.83,48.41138245
2025-01-19T08:00:00Z,1/19/2025 8:00,158.79,48.39919045
2025-01-20T08:00:00Z,1/20/2025 8:00,158.46,48.29860645
2025-01-21T08:00:00Z,1/21/2025 8:00,158.43,48.28946245
2025-01-22T08:00:00Z,1/22/2025 8:00,158.66,48.35956645
2025-01-23T08:00:00Z,1/23/2025 8:00,158.69,48.36871045
2025-01-24T08:00:00Z,1/24/2025 8:00,158.83,48.41138245
2025-01-25T08:00:00Z,1/25/2025 8:00,158.63,48.35042245
2025-01-26T08:00:00Z,1/26/2025 8:00,158.92,48.43881445
2025-01-27T08:00:00Z,1/27/2025 8:00,158.76,48.39004645
2025-01-28T08:00:00Z,1/28/2025 8:00,158.53,48.31994245
2025-01-29T08:00:00Z,1/29/2025 8:00,158.1,48.18887846
2025-01-30T08:00:00Z,1/30/2025 8:00,158.69,48.36871045
2025-01-31T08:00:00Z,1/31/2025 8:00,158.04,48.17059046
2025-02-01T08:00:00Z,2/1/2025 8:00,158.66,48.35956645
2025-02-02T08:00:00Z,2/2/2025 8:00,158.92,48.43881445
2025-02-03T08:00:00Z,2/3/2025 8:00,158.23,48.22850246
2025-02-04T08:00:00Z,2/4/2025 8:00,158.56,48.32908645
2025-02-05T08:00:00Z,2/5/2025 8:00,158.69,48.36871045
2025-02-06T08:00:00Z,2/6/2025 8:00,158.83,48.41138245
2025-02-07T08:00:00Z,2/7/2025 8:00,158.63,48.35042245
2025-02-08T08:00:00Z,2/8/2025 8:00,158.76,48.39004645
2025-02-09T08:00:00Z,2/9/2025 8:00,158.53,48.31994245
2025-02-10T08:00:00Z,2/10/2025 8:00,158.37,48.27117446
2025-02-11T08:00:00Z,2/11/2025 8:00,158.37,48.27117446
2025-02-12T08:00:00Z,2/12/2025 8:00,158.53,48.31994245
2025-02-13T08:00:00Z,2/13/2025 8:00,159.22,48.53025445
2025-02-14T08:00:00Z,2/14/2025 8:00,159.06,48.48148645
2025-02-15T08:00:00Z,2/15/2025 8:00,159.35,48.56987845
2025-02-16T08:00:00Z,2/16/2025 8:00,159.09,48.49063045
2025-02-17T08:00:00Z,2/17/2025 8:00,159.09,48.49063045
2025-02-18T08:00:00Z,2/18/2025 8:00,158.89,48.42967045
2025-02-19T08:00:00Z,2/19/2025 8:00,158.5,48.31079845
2025-02-20T08:00:00Z,2/20/2025 8:00,158.92,48.43881445
2025-02-21T08:00:00Z,2/21/2025 8:00,158.66,48.35956645
2025-02-22T08:00:00Z,2/22/2025 8:00,158.73,48.38090245
2025-02-23T08:00:00Z,2/23/2025 8:00,158.92,48.43881445
2025-02-24T08:00:00Z,2/24/2025 8:00,158.4,48.28031846
2025-02-25T08:00:00Z,2/25/2025 8:00,158.86,48.42052645
2025-02-26T08:00:00Z,2/26/2025 8:00,158.79,48.39919045
2025-02-27T08:00:00Z,2/27/2025 8:00,158.5,48.31079845
2025-02-28T08:00:00Z,2/28/2025 8:00,158.83,48.41138245
2025-03-01T08:00:00Z,3/1/2025 8:00,158.73,48.38090245
2025-03-02T08:00:00Z,3/2/2025 8:00,158.69,48.36871045
2025-03-03T08:00:00Z,3/3/2025 8:00,159.02,48.46929445
2025-03-04T08:00:00Z,3/4/2025 8:00,158.86,48.42052645
2025-03-05T08:00:00Z,3/5/2025 8:00,158.83,48.41138245
2025-03-06T08:00:00Z,3/6/2025 8:00,158.66,48.35956645
2025-03-07T08:00:00Z,3/7/2025 8:00,158.69,48.36871045
2025-03-08T08:00:00Z,3/8/2025 8:00,158.53,48.31994245
2025-03-09T08:00:00Z,3/9/2025 8:00,158.53,48.31994245
2025-03-10T07:00:00Z,3/10/2025 7:00,158.66,48.35956645
2025-03-11T07:00:00Z,3/11/2025 7:00,158.73,48.38090245
2025-03-12T07:00:00Z,3/12/2025 7:00,158.89,48.42967045
2025-03-13T07:00:00Z,3/13/2025 7:00,158.46,48.29860645
2025-03-14T07:00:00Z,3/14/2025 7:00,158.23,48.22850246
2025-03-15T07:00:00Z,3/15/2025 7:00,157.94,48.14011046
2025-03-16T07:00:00Z,3/16/2025 7:00,158.2,48.21935846
2025-03-17T07:00:00Z,3/17/2025 7:00,158.83,48.41138245
2025-03-18T07:00:00Z,3/18/2025 7:00,158.6,48.34127845
2025-03-19T07:00:00Z,3/19/2025 7:00,159.12,48.49977445
2025-03-20T07:00:00Z,3/20/2025 7:00,159.02,48.46929445
2025-03-21T07:00:00Z,3/21/2025 7:00,159.09,48.49063045
2025-03-22T07:00:00Z,3/22/2025 7:00,158.92,48.43881445
2025-03-23T07:00:00Z,3/23/2025 7:00,158.99,48.46015045
2025-03-24T07:00:00Z,3/24/2025 7:00,158.86,48.42052645
2025-03-25T07:00:00Z,3/25/2025 7:00,158.96,48.45100645
2025-03-26T07:00:00Z,3/26/2025 7:00,158.56,48.32908645
2025-03-27T07:00:00Z,3/27/2025 7:00,158.63,48.35042245
2025-03-28T07:00:00Z,3/28/2025 7:00,158.33,48.25898246
2025-03-29T07:00:00Z,3/29/2025 7:00,158.23,48.22850246
2025-03-30T07:00:00Z,3/30/2025 7:00,158.01,48.16144646
2025-03-31T07:00:00Z,3/31/2025 7:00,158.53,48.31994245
2025-04-01T07:00:00Z,4/1/2025 7:00,158.4,48.28031846
2025-04-02T07:00:00Z,4/2/2025 7:00,158.33,48.25898246
2025-04-03T07:00:00Z,4/3/2025 7:00,158.33,48.25898246
2025-04-04T07:00:00Z,4/4/2025 7:00,159.15,48.50891845
2025-04-05T07:00:00Z,4/5/2025 7:00,159.09,48.49063045
2025-04-06T07:00:00Z,4/6/2025 7:00,159.06,48.48148645
2025-04-07T07:00:00Z,4/7/2025 7:00,158.99,48.46015045
2025-04-08T07:00:00Z,4/8/2025 7:00,158.79,48.39919045
2025-04-09T07:00:00Z,4/9/2025 7:00,159.35,48.56987845
2025-04-10T07:00:00Z,4/10/2025 7:00,159.15,48.50891845
2025-04-11T07:00:00Z,4/11/2025 7:00,158.01,48.16144646
2025-04-12T07:00:00Z,4/12/2025 7:00,159.06,48.48148645
2025-04-13T07:00:00Z,4/13/2025 7:00,158.63,48.35042245
2025-04-14T07:00:00Z,4/14/2025 7:00,158.83,48.41138245
2025-04-15T07:00:00Z,4/15/2025 7:00,158.63,48.35042245
2025-04-16T07:00:00Z,4/16/2025 7:00,158.83,48.41138245
2025-04-17T07:00:00Z,4/17/2025 7:00,158.66,48.35956645
2025-04-18T07:00:00Z,4/18/2025 7:00,158.4,48.28031846
2025-04-19T07:00:00Z,4/19/2025 7:00,158.83,48.41138245
2025-04-20T07:00:00Z,4/20/2025 7:00,158.86,48.42052645
2025-04-21T07:00:00Z,4/21/2025 7:00,158.73,48.38090245
2025-04-22T07:00:00Z,4/22/2025 7:00,158.46,48.29860645
2025-04-23T07:00:00Z,4/23/2025 7:00,158.89,48.42967045
2025-04-24T07:00:00Z,4/24/2025 7:00,158.6,48.34127845
2025-04-25T07:00:00Z,4/25/2025 7:00,158.92,48.43881445
2025-04-26T07:00:00Z,4/26/2025 7:00,158.83,48.41138245
2025-04-27T07:00:00Z,4/27/2025 7:00,158.73,48.38090245
2025-04-28T07:00:00Z,4/28/2025 7:00,159.25,48.53939845
2025-04-29T07:00:00Z,4/29/2025 7:00,158.83,48.41138245
2025-04-30T07:00:00Z,4/30/2025 7:00,158.92,48.43881445
2025-05-01T07:00:00Z,5/1/2025 7:00,158.66,48.35956645
2025-05-02T07:00:00Z,5/2/2025 7:00,158.76,48.39004645
2025-05-03T07:00:00Z,5/3/2025 7:00,158.46,48.29860645
2025-05-04T07:00:00Z,5/4/2025 7:00,158.56,48.32908645
2025-05-05T07:00:00Z,5/5/2025 7:00,158.86,48.42052645
2025-05-06T07:00:00Z,5/6/2025 7:00,158.63,48.35042245
2025-05-07T07:00:00Z,5/7/2025 7:00,158.53,48.31994245
2025-05-08T07:00:00Z,5/8/2025 7:00,158.2,48.21935846
2025-05-09T07:00:00Z,5/9/2025 7:00,158.73,48.38090245
2025-05-10T07:00:00Z,5/10/2025 7:00,158.6,48.34127845
2025-05-11T07:00:00Z,5/11/2025 7:00,158.6,48.34127845
2025-05-12T07:00:00Z,5/12/2025 7:00,159.06,48.48148645
2025-05-13T07:00:00Z,5/13/2025 7:00,158.1,48.18887846
2025-05-14T07:00:00Z,5/14/2025 7:00,157.35,47.96027847
2025-05-15T07:00:00Z,5/15/2025 7:00,158.6,48.34127845
2025-05-16T07:00:00Z,5/16/2025 7:00,158.6,48.34127845
2025-05-17T07:00:00Z,5/17/2025 7:00,158.66,48.35956645
2025-05-18T07:00:00Z,5/18/2025 7:00,158.33,48.25898246
2025-05-19T07:00:00Z,5/19/2025 7:00,158.6,48.34127845
2025-05-20T07:00:00Z,5/20/2025 7:00,158.99,48.46015045
2025-05-21T07:00:00Z,5/21/2025 7:00,158.46,48.29860645
2025-05-22T07:00:00Z,5/22/2025 7:00,158.99,48.46015045
2025-05-23T07:00:00Z,5/23/2025 7:00,159.02,48.46929445
2025-05-24T07:00:00Z,5/24/2025 7:00,158.69,48.36871045
2025-05-25T07:00:00Z,5/25/2025 7:00,158.79,48.39919045
2025-05-26T07:00:00Z,5/26/2025 7:00,158.53,48.31994245
2025-05-27T07:00:00Z,5/27/2025 7:00,158.86,48.42052645
2025-05-28T07:00:00Z,5/28/2025 7:00,159.09,48.49063045
2025-05-29T07:00:00Z,5/29/2025 7:00,158.89,48.42967045
2025-05-30T07:00:00Z,5/30/2025 7:00,159.15,48.50891845
2025-05-31T07:00:00Z,5/31/2025 7:00,158.76,48.39004645
2025-06-01T07:00:00Z,6/1/2025 7:00,158.6,48.34127845
2025-06-02T07:00:00Z,6/2/2025 7:00,158.73,48.38090245
2025-06-03T07:00:00Z,6/3/2025 7:00,158.04,48.17059046
2025-06-04T07:00:00Z,6/4/2025 7:00,158.73,48.38090245
2025-06-05T07:00:00Z,6/5/2025 7:00,158.86,48.42052645
2025-06-06T07:00:00Z,6/6/2025 7:00,158.76,48.39004645
2025-06-07T07:00:00Z,6/7/2025 7:00,158.43,48.28946245
2025-06-08T07:00:00Z,6/8/2025 7:00,158.43,48.28946245
2025-06-09T07:00:00Z,6/9/2025 7:00,157.64,48.04867046
2025-06-10T07:00:00Z,6/10/2025 7:00,157.71,48.07000646
2025-06-11T07:00:00Z,6/11/2025 7:00,157.97,48.14925446
2025-06-12T07:00:00Z,6/12/2025 7:00,158.92,48.43881445
2025-06-13T07:00:00Z,6/13/2025 7:00,159.19,48.52111045
2025-06-14T07:00:00Z,6/14/2025 7:00,158.96,48.45100645
2025-06-15T07:00:00Z,6/15/2025 7:00,159.09,48.49063045
2025-06-16T07:00:00Z,6/16/2025 7:00,158.56,48.32908645
2025-06-17T07:00:00Z,6/17/2025 7:00,158.6,48.34127845
2025-06-18T07:00:00Z,6/18/2025 7:00,158.83,48.41138245
2025-06-19T07:00:00Z,6/19/2025 7:00,158.6,48.34127845
2025-06-20T07:00:00Z,6/20/2025 7:00,158.92,48.43881445
2025-06-21T07:00:00Z,6/21/2025 7:00,159.25,48.53939845
2025-06-22T07:00:00Z,6/22/2025 7:00,158.92,48.43881445
2025-06-23T07:00:00Z,6/23/2025 7:00,159.06,48.48148645
2025-06-24T07:00:00Z,6/24/2025 7:00,158.96,48.45100645
2025-06-25T07:00:00Z,6/25/2025 7:00,158.56,48.32908645
2025-06-26T07:00:00Z,6/26/2025 7:00,158.96,48.45100645
2025-06-27T07:00:00Z,6/27/2025 7:00,159.19,48.52111045
2025-06-28T07:00:00Z,6/28/2025 7:00,159.06,48.48148645
2025-06-29T07:00:00Z,6/29/2025 7:00,158.92,48.43881445
2025-06-30T07:00:00Z,6/30/2025 7:00,159.38,48.57902245
2025-07-01T07:00:00Z,7/1/2025 7:00,159.32,48.56073445
2025-07-02T07:00:00Z,7/2/2025 7:00,159.02,48.46929445
2025-07-03T07:00:00Z,7/3/2025 7:00,158.96,48.45100645
2025-07-04T07:00:00Z,7/4/2025 7:00,158.99,48.46015045
2025-07-05T07:00:00Z,7/5/2025 7:00,159.09,48.49063045
2025-07-06T07:00:00Z,7/6/2025 7:00,159.19,48.52111045
2025-07-07T07:00:00Z,7/7/2025 7:00,159.22,48.53025445
2025-07-08T07:00:00Z,7/8/2025 7:00,158.89,48.42967045
2025-07-09T07:00:00Z,7/9/2025 7:00,159.25,48.53939845
2025-07-10T07:00:00Z,7/10/2025 7:00,158.96,48.45100645
2025-07-11T07:00:00Z,7/11/2025 7:00,159.48,48.60950244
2025-07-12T07:00:00Z,7/12/2025 7:00,159.45,48.60035844
2025-07-13T07:00:00Z,7/13/2025 7:00,159.35,48.56987845
2025-07-14T07:00:00Z,7/14/2025 7:00,159.25,48.53939845
2025-07-15T07:00:00Z,7/15/2025 7:00,158.6,48.34127845
2025-07-16T07:00:00Z,7/16/2025 7:00,158.83,48.41138245
2025-07-17T07:00:00Z,7/17/2025 7:00,158.92,48.43881445
2025-07-18T07:00:00Z,7/18/2025 7:00,158.46,48.29860645
2025-07-19T07:00:00Z,7/19/2025 7:00,158.23,48.22850246
2025-07-20T07:00:00Z,7/20/2025 7:00,158.76,48.39004645
2025-07-21T07:00:00Z,7/21/2025 7:00,158.56,48.32908645
2025-07-22T07:00:00Z,7/22/2025 7:00,159.02,48.46929445
2025-07-23T07:00:00Z,7/23/2025 7:00,158.76,48.39004645
2025-07-24T07:00:00Z,7/24/2025 7:00,159.25,48.53939845
2025-07-25T07:00:00Z,7/25/2025 7:00,159.09,48.49063045
2025-07-26T07:00:00Z,7/26/2025 7:00,159.48,48.60950244
2025-07-27T07:00:00Z,7/27/2025 7:00,159.06,48.48148645
2025-07-28T07:00:00Z,7/28/2025 7:00,159.38,48.57902245
2025-07-29T07:00:00Z,7/29/2025 7:00,158.37,48.27117446
2025-07-30T07:00:00Z,7/30/2025 7:00,158.43,48.28946245
2025-07-31T07:00:00Z,7/31/2025 7:00,158.56,48.32908645
2025-08-01T07:00:00Z,8/1/2025 7:00,158.73,48.38090245
2025-08-02T07:00:00Z,8/2/2025 7:00,159.12,48.49977445
2025-08-03T07:00:00Z,8/3/2025 7:00,158.92,48.43881445
2025-08-04T07:00:00Z,8/4/2025 7:00,159.28,48.54854245
2025-08-05T07:00:00Z,8/5/2025 7:00,159.45,48.60035844
2025-08-06T07:00:00Z,8/6/2025 7:00,159.15,48.50891845
2025-08-07T07:00:00Z,8/7/2025 7:00,158.73,48.38090245
2025-08-08T07:00:00Z,8/8/2025 7:00,158.69,48.36871045
2025-08-09T07:00:00Z,8/9/2025 7:00,158.99,48.46015045
2025-08-10T07:00:00Z,8/10/2025 7:00,158.89,48.42967045
2025-08-11T07:00:00Z,8/11/2025 7:00,159.06,48.48148645
2025-08-12T07:00:00Z,8/12/2025 7:00,159.12,48.49977445
2025-08-13T07:00:00Z,8/13/2025 7:00,159.06,48.48148645
2025-08-14T07:00:00Z,8/14/2025 7:00,159.06,48.48148645
2025-08-15T07:00:00Z,8/15/2025 7:00,159.09,48.49063045
2025-08-16T07:00:00Z,8/16/2025 7:00,159.06,48.48148645
2025-08-17T07:00:00Z,8/17/2025 7:00,159.38,48.57902245
2025-08-18T07:00:00Z,8/18/2025 7:00,159.48,48.60950244
2025-08-19T07:00:00Z,8/19/2025 7:00,159.58,48.63998244
2025-08-20T07:00:00Z,8/20/2025 7:00,159.38,48.57902245
2025-08-21T07:00:00Z,8/21/2025 7:00,159.12,48.49977445
2025-08-22T07:00:00Z,8/22/2025 7:00,159.12,48.49977445
2025-08-23T07:00:00Z,8/23/2025 7:00,158.56,48.32908645
2025-08-24T07:00:00Z,8/24/2025 7:00,158.92,48.43881445
2025-08-25T07:00:00Z,8/25/2025 7:00,159.06,48.48148645
2025-08-26T07:00:00Z,8/26/2025 7:00,159.25,48.53939845
2025-08-27T07:00:00Z,8/27/2025 7:00,159.28,48.54854245
2025-08-28T07:00:00Z,8/28/2025 7:00,158.96,48.45100645
2025-08-29T07:00:00Z,8/29/2025 7:00,159.15,48.50891845
2025-08-30T07:00:00Z,8/30/2025 7:00,158.76,48.39004645
2025-08-31T07:00:00Z,8/31/2025 7:00,158.99,48.46015045
2025-09-01T07:00:00Z,9/1/2025 7:00,158.92,48.43881445
2025-09-02T07:00:00Z,9/2/2025 7:00,159.19,48.52111045
2025-09-03T07:00:00Z,9/3/2025 7:00,159.38,48.57902245
2025-09-04T07:00:00Z,9/4/2025 7:00,158.96,48.45100645
2025-09-05T07:00:00Z,9/5/2025 7:00,159.32,48.56073445
2025-09-06T07:00:00Z,9/6/2025 7:00,159.42,48.59121445
2025-09-07T07:00:00Z,9/7/2025 7:00,159.06,48.48148645
2025-09-08T07:00:00Z,9/8/2025 7:00,158.86,48.42052645
2025-09-09T07:00:00Z,9/9/2025 7:00,159.32,48.56073445
2025-09-10T07:00:00Z,9/10/2025 7:00,159.55,48.63083844
2025-09-11T07:00:00Z,9/11/2025 7:00,159.45,48.60035844
2025-09-12T07:00:00Z,9/12/2025 7:00,159.42,48.59121445
2025-09-13T07:00:00Z,9/13/2025 7:00,159.42,48.59121445
2025-09-14T07:00:00Z,9/14/2025 7:00,159.42,48.59121445
2025-09-15T07:00:00Z,9/15/2025 7:00,159.19,48.52111045
2025-09-16T07:00:00Z,9/16/2025 7:00,159.55,48.63083844
2025-09-17T07:00:00Z,9/17/2025 7:00,159.45,48.60035844
2025-09-18T07:00:00Z,9/18/2025 7:00,159.42,48.59121445
2025-09-19T07:00:00Z,9/19/2025 7:00,158.96,48.45100645
2025-09-20T07:00:00Z,9/20/2025 7:00,159.02,48.46929445
2025-09-21T07:00:00Z,9/21/2025 7:00,159.06,48.48148645
2025-09-22T07:00:00Z,9/22/2025 7:00,159.06,48.48148645
2025-09-23T07:00:00Z,9/23/2025 7:00,159.42,48.59121445
2025-09-24T07:00:00Z,9/24/2025 7:00,159.35,48.56987845
2025-09-25T07:00:00Z,9/25/2025 7:00,159.06,48.48148645
2025-09-26T07:00:00Z,9/26/2025 7:00,159.12,48.49977445
2025-09-27T07:00:00Z,9/27/2025 7:00,159.15,48.50891845
2025-09-28T07:00:00Z,9/28/2025 7:00,159.32,48.56073445
2025-09-29T07:00:00Z,9/29/2025 7:00,159.19,48.52111045
2025-09-30T07:00:00Z,9/30/2025 7:00,159.15,48.50891845
2025-10-01T07:00:00Z,10/1/2025 7:00,159.35,48.56987845
2025-10-02T07:00:00Z,10/2/2025 7:00,159.45,48.60035844
2025-10-03T07:00:00Z,10/3/2025 7:00,159.12,48.49977445
2025-10-04T07:00:00Z,10/4/2025 7:00,159.19,48.52111045
2025-10-05T07:00:00Z,10/5/2025 7:00,159.15,48.50891845
2025-10-06T07:00:00Z,10/6/2025 7:00,159.25,48.53939845
2025-10-07T07:00:00Z,10/7/2025 7:00,159.06,48.48148645
2025-10-08T07:00:00Z,10/8/2025 7:00,159.09,48.49063045
2025-10-09T07:00:00Z,10/9/2025 7:00,158.89,48.42967045
2025-10-10T07:00:00Z,10/10/2025 7:00,159.06,48.48148645
2025-10-11T07:00:00Z,10/11/2025 7:00,158.69,48.36871045
2025-10-12T07:00:00Z,10/12/2025 7:00,158.96,48.45100645
2025-10-13T07:00:00Z,10/13/2025 7:00,159.02,48.46929445
2025-10-14T07:00:00Z,10/14/2025 7:00,158.83,48.41138245
2025-10-15T07:00:00Z,10/15/2025 7:00,158.83,48.41138245
2025-10-16T07:00:00Z,10/16/2025 7:00,158.79,48.39919045
2025-10-17T07:00:00Z,10/17/2025 7:00,158.53,48.31994245
2025-10-18T07:00:00Z,10/18/2025 7:00,158.53,48.31994245
2025-10-19T07:00:00Z,10/19/2025 7:00,159.12,48.49977445
2025-10-20T07:00:00Z,10/20/2025 7:00,159.19,48.52111045
2025-10-21T07:00:00Z,10/21/2025 7:00,158.69,48.36871045
2025-10-22T07:00:00Z,10/22/2025 7:00,158.5,48.31079845
2025-10-23T07:00:00Z,10/23/2025 7:00,158.76,48.39004645
2025-10-24T07:00:00Z,10/24/2025 7:00,158.83,48.41138245
2025-10-25T07:00:00Z,10/25/2025 7:00,158.83,48.41138245
2025-10-26T07:00:00Z,10/26/2025 7:00,158.83,48.41138245
2025-10-27T07:00:00Z,10/27/2025 7:00,158.86,48.42052645
2025-10-28T07:00:00Z,10/28/2025 7:00,158.92,48.43881445
2025-10-29T07:00:00Z,10/29/2025 7:00,158.86,48.42052645
2025-10-30T07:00:00Z,10/30/2025 7:00,158.86,48.42052645
2025-10-31T07:00:00Z,10/31/2025 7:00,158.73,48.38090245
2025-11-01T07:00:00Z,11/1/2025 7:00,158.79,48.39919045
2025-11-02T07:00:00Z,11/2/2025 7:00,158.83,48.41138245
2025-11-03T08:00:00Z,11/3/2025 8:00,158.99,48.46015045
2025-11-04T08:00:00Z,11/4/2025 8:00,159.25,48.53939845
2025-11-05T08:00:00Z,11/5/2025 8:00,158.43,48.28946245
2025-11-06T08:00:00Z,11/6/2025 8:00,158.4,48.28031846
2025-11-07T08:00:00Z,11/7/2025 8:00,159.15,48.50891845
2025-11-08T08:00:00Z,11/8/2025 8:00,159.28,48.54854245
2025-11-09T08:00:00Z,11/9/2025 8:00,159.22,48.53025445
2025-11-10T08:00:00Z,11/10/2025 8:00,159.28,48.54854245
2025-11-11T08:00:00Z,11/11/2025 8:00,158.76,48.39004645
2025-11-12T08:00:00Z,11/12/2025 8:00,158.56,48.32908645
2025-11-13T08:00:00Z,11/13/2025 8:00,158.43,48.28946245
2025-11-14T08:00:00Z,11/14/2025 8:00,158.76,48.39004645
2025-11-15T08:00:00Z,11/15/2025 8:00,159.12,48.49977445
2025-11-16T08:00:00Z,11/16/2025 8:00,158.56,48.32908645
2025-11-17T08:00:00Z,11/17/2025 8:00,158.17,48.21021446
2025-11-18T08:00:00Z,11/18/2025 8:00,158.43,48.28946245
2025-11-19T08:00:00Z,11/19/2025 8:00,158.76,48.39004645
2025-11-20T08:00:00Z,11/20/2025 8:00,158.56,48.32908645
2025-11-21T08:00:00Z,11/21/2025 8:00,158.33,48.25898246
2025-11-22T08:00:00Z,11/22/2025 8:00,158.83,48.41138245
2025-11-23T08:00:00Z,11/23/2025 8:00,158.76,48.39004645
2025-11-24T08:00:00Z,11/24/2025 8:00,158.86,48.42052645
2025-11-25T08:00:00Z,11/25/2025 8:00,158.33,48.25898246
2025-11-26T08:00:00Z,11/26/2025 8:00,158.2,48.21935846
2025-11-27T08:00:00Z,11/27/2025 8:00,158.3,48.24983846
2025-11-28T08:00:00Z,11/28/2025 8:00,158.04,48.17059046
2025-11-29T08:00:00Z,11/29/2025 8:00,159.06,48.48148645
2025-11-30T08:00:00Z,11/30/2025 8:00,158.83,48.41138245
2025-12-01T08:00:00Z,12/1/2025 8:00,158.92,48.43881445
2025-12-02T08:00:00Z,12/2/2025 8:00,158.33,48.25898246
2025-12-03T08:00:00Z,12/3/2025 8:00,157.97,48.14925446
2025-12-04T08:00:00Z,12/4/2025 8:00,157.78,48.09134246
2025-12-05T08:00:00Z,12/5/2025 8:00,158.79,48.39919045
2025-12-06T08:00:00Z,12/6/2025 8:00,158.96,48.45100645
2025-12-07T08:00:00Z,12/7/2025 8:00,158.76,48.39004645
2025-12-08T08:00:00Z,12/8/2025 8:00,158.92,48.43881445
2025-12-09T08:00:00Z,12/9/2025 8:00,158.99,48.46015045
2025-12-10T08:00:00Z,12/10/2025 8:00,158.76,48.39004645
2025-12-11T08:00:00Z,12/11/2025 8:00,159.06,48.48148645
2025-12-12T08:00:00Z,12/12/2025 8:00,159.02,48.46929445
2025-12-13T08:00:00Z,12/13/2025 8:00,158.92,48.43881445
2025-12-14T08:00:00Z,12/14/2025 8:00,157.81,48.10048646
2025-12-15T08:00:00Z,12/15/2025 8:00,157.87,48.11877446
2025-12-16T08:00:00Z,12/16/2025 8:00,158.37,48.27117446
2025-12-17T08:00:00Z,12/17/2025 8:00,158.4,48.28031846
2025-12-18T08:00:00Z,12/18/2025 8:00,158.56,48.32908645
2025-12-19T08:00:00Z,12/19/2025 8:00,157.64,48.04867046
2025-12-20T08:00:00Z,12/20/2025 8:00,158.79,48.39919045
2025-12-21T08:00:00Z,12/21/2025 8:00,158.63,48.35042245
2025-12-22T08:00:00Z,12/22/2025 8:00,158.66,48.35956645
2025-12-23T08:00:00Z,12/23/2025 8:00,158.46,48.29860645
2025-12-24T08:00:00Z,12/24/2025 8:00,158.4,48.28031846
2025-12-25T08:00:00Z,12/25/2025 8:00,157.94,48.14011046
2025-12-26T08:00:00Z,12/26/2025 8:00,158.17,48.21021446
2025-12-27T08:00:00Z,12/27/2025 8:00,158.17,48.21021446
2025-12-28T08:00:00Z,12/28/2025 8:00,157.94,48.14011046
2025-12-29T08:00:00Z,12/29/2025 8:00,158.17,48.21021446
2025-12-30T08:00:00Z,12/30/2025 8:00,158.6,48.34127845
